Iniciativa,Tipo,Estagio,Âmbito,Periodicidade,Estado,Município,latitude,longitude
Festival Gastronômico Raízes De Porto Seguro,Evento / Festival;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Anual,BA,Porto Seguro,-16.4435,-39.0643
Festival Sabores Do Ceará - Fortaleza,Evento / Festival;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Anual,CE,Fortaleza,-3.71664,-38.5423
Origem Santa Catarina,Outros - Projeto de Valorização de Recursos Territoriais Agroalimentares;,Consolidada (geralmente com mais de 2 anos),Estadual,Permanente,SC,,-27.45,-50.95
Festival Da Sergipanidade,Evento / Festival;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,SE,Aracaju,-10.9091,-37.0677
Rota Do Peixe,Roteiro Gastronômico;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Permanente,MT,Cuiabá,-15.600999999999999,-56.0974
"Projeto: Sabor Curraleiro, Mas Que Tradição, Uma Oportunidade De Negócio",Projeto de Qualificação;Produto Turístico de Gastronomia;Outros - Consolidação da identidade gastronômica Regional;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Permanente,TO,Palmas,-10.24,-48.3558
Feira De Artesanato- 1° Edição,Evento / Festival;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Anual,PA,Melgaço,-1.8032,-50.7149
Festival Cabano Tribal,Evento / Festival;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Anual,PA,Melgaço,-1.8032,-50.7149
Festival Gastronômico,Evento / Festival;Roteiro Gastronômico;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Anual,MG,São Brás do Suaçuí,-20.6242,-43.9515
Festa Nacional Do Charque,Evento / Festival;Outros - ;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,PR,Guarapuava,-25.3902,-51.4623
